횡단보도_ID,읍면동명,위도,경도
39625,장안동,37.5679539795902,127.07255379907872
43663,이문동,37.60314777767854,127.06207015805977
42606,제기동,37.58284199949725,127.03571851096011
50260,용두동,37.57805015726385,127.03832283711147
42994,장안동,37.566071233362955,127.06946564877963
44072,장안동,37.577857655256565,127.07427143315894
44690,휘경동,37.59380875745187,127.06841720854666
43338,전농동,37.57930513256158,127.04248507648403
46968,장안동,37.56593024621533,127.06791588989472
47373,용두동,37.57380140907168,127.03085276469727
47738,회기동,37.59163933000333,127.05230563930053
48260,장안동,37.57290535208938,127.06648171129963
50828,답십리동,37.5661577782202,127.0556839881537
49199,제기동,37.57812723111354,127.03519384705676
48816,신설동,37.573932759752935,127.02717169862673
53129,전농동,37.577396393526946,127.058104889189
51713,용두동,37.573538838228586,127.04022972342267
54305,휘경동,37.59458993613595,127.0647177469341
52740,이문동,37.59354169754144,127.05831758873835
54712,제기동,37.58654982740956,127.03713770947725
54412,이문동,37.59539893434135,127.06258291436365
60172,장안동,37.565024842875694,127.07225914868523
55632,휘경동,37.590872149124216,127.06718792133427
57111,전농동,37.575576386840225,127.05152386135721
58322,제기동,37.58314088321532,127.03861732676242
58791,휘경동,37.590056634503995,127.05760019997304
13897,답십리동,37.57275910609526,127.0660905450545
26551,용두동,37.57814797468643,127.03267185869521
61028,장안동,37.564871283376505,127.07048275136708
64766,장안동,37.57998825223919,127.07609808349706
64498,답십리동,37.575654213815966,127.06163482772891
25377,용두동,37.572724923867526,127.03780543539372
57765,청량리동,37.586586959561444,127.04764624375707
71379,답십리동,37.572715861126625,127.05743559515331
70220,신설동,37.571117973752195,127.02672214396526
20185,장안동,37.56436340764954,127.05953579824744
18621,신설동,37.57623283715559,127.0254910353486
72240,전농동,37.576790446422336,127.04599094577334
62528,제기동,37.58285216081475,127.0361685560738
67967,이문동,37.59644520634382,127.06030150004798
65414,이문동,37.60496037913511,127.06697909942145
73075,회기동,37.58841805913391,127.05365438561569
67148,휘경동,37.59172901550643,127.0675108033696
64960,제기동,37.58676027921763,127.0383172368982
66783,전농동,37.57843499347112,127.05721713777424
19260,신설동,37.57587994679225,127.02346315499025
78552,장안동,37.572019509668536,127.07445540095613
78512,용두동,37.574050903369866,127.03068034855416
31185,회기동,37.5917574046857,127.05232534462816
81259,답십리동,37.57289384100373,127.05850533354234
88218,이문동,37.59919873376839,127.06751899023487
74356,청량리동,37.58584951177767,127.05165891309112
30989,이문동,37.597301689941894,127.06785139897968
74239,답십리동,37.565521916712996,127.05493745492277
74263,제기동,37.58276671394587,127.03860419301392
79794,장안동,37.5719848791271,127.0767153037123
25025,장안동,37.57299303353434,127.0719541046648
79288,장안동,37.56131593377048,127.07094177007795
23376,휘경동,37.5909307479547,127.0679467407192
80829,제기동,37.58641696070178,127.03844071985887
23972,신설동,37.5745480458647,127.02562578427106
80124,청량리동,37.583155578879065,127.04403365535661
81531,신설동,37.57410563119738,127.02678790616173
75389,청량리동,37.58672573120427,127.0433320543843
81374,장안동,37.564964129244075,127.0704780470476
81949,용두동,37.574000523276965,127.03080540413636
82544,청량리동,37.582533858393035,127.0479614196184
24847,청량리동,37.59126494043817,127.04251200632528
84601,답십리동,37.565126990126416,127.05686419163585
84781,용두동,37.57388724046475,127.03080823278924
83584,장안동,37.57929399479387,127.07380846352585
83767,휘경동,37.59146462845345,127.0672673615613
36307,휘경동,37.59012756525658,127.0621384819326
